1700,1,436.662,4074,1701
1400,1,487.627,3978,1401
1100,1,554.654,3803,1101
1000,1,594.006,3718,1001
900,1,624.601,3614,901
800,1,668.393,3488,801
700,0.9998,723.282,3332,701
600,1,792.465,3140,601
500,0.9999,885.058,2899,501
400,0.9994,1022.89,2596,401
300,0.9994,1244.16,2208,301
250,0.9982,1416.75,1972,251
200,0.9975,1669.6,1697,202
180,0.9979,1807.46,1576,182
160,0.9963,1978.15,1447,162
140,0.9942,2192.31,1310,142
120,0.9905,2471.61,1164,122
100,0.9872,2856.8,1006,102
90,0.984,3097.59,926,92
80,0.9807,3406.02,843,82
70,0.9753,3792.24,754,72
60,0.9673,4289.18,665,63
55,0.9613,4604.09,619,58
50,0.9555,4933.5,573,53
45,0.945,5394.3,525,48
40,0.934,5838.94,477,43
35,0.9223,6458.32,430,39
30,0.906,7212.51,381,34
25,0.8759,8164.4,332,29
20,0.853,9316.45,285,25
15,0.7939,11222.8,231,20
10,0.7508,12683.1,200,17
