1700,0.998,279.66,12380,1703
1400,0.997,333.849,10616,1403
1100,0.9966,413.393,8753,1104
1000,0.995,450.038,8096,1003
900,0.9957,494.297,7438,904
800,0.9952,548.322,6760,804
700,0.9943,615.959,6057,704
600,0.993,705.728,5334,604
500,0.9914,828.04,4583,505
400,0.9895,1001.77,3800,405
300,0.9845,1275.95,2980,305
250,0.9814,1482.69,2550,255
200,0.9764,1774.81,2110,206
180,0.9726,1930.12,1926,186
160,0.9683,2107.57,1743,166
140,0.9634,2327.99,1558,146
120,0.9561,2597.75,1368,127
100,0.9429,2947.34,1171,107
90,0.9347,3173.72,1071,97
80,0.9277,3402.81,976,87
70,0.9145,3715.55,871,77
60,0.9028,4068.03,774,68
55,0.8922,4268.6,725,63
50,0.881,4520.04,667,58
45,0.8719,4458.81,618,53
40,0.8575,5104.77,567,48
35,0.8385,5500.76,517,44
30,0.8173,5930.67,462,39
25,0.7834,6470.74,410,34
20,0.7488,7023.31,360,30
15,0.73,7441.25,329,27
10,0.7098,7563.21,321,26
