1700,0.9936,230.792,15419,1706
1400,0.9924,277.319,12987,1406
1100,0.99,347.021,10487,1107
1000,0.9887,379.998,9630,1007
900,0.9864,419.599,8762,907
800,0.9831,469.045,7884,807
700,0.981,531.803,6987,707
600,0.9787,612.838,6083,607
500,0.9734,723.622,5157,507
400,0.967,890.61,4213,408
300,0.9549,1144.89,3250,308
250,0.9491,1340.27,2761,259
200,0.934,1616.27,2257,209
180,0.9273,1758.3,2055,189
160,0.9188,1932.34,1852,169
140,0.9071,2135.17,1648,150
120,0.8938,2380.71,1443,130
100,0.8759,2705.42,1240,111
90,0.8648,2910.65,1131,101
80,0.8466,3136.29,1028,91
70,0.831,3403.75,922,81
60,0.8131,3718.47,821,72
55,0.7995,3900.23,766,67
50,0.7857,4119.14,713,62
45,0.7688,4324.21,664,57
40,0.7465,4627.79,605,52
35,0.7252,4913.33,555,48
30,0.6967,5312.14,498,42
25,0.6592,5754.23,445,38
20,0.6398,6029.8,414,35
15,0.642,6009,413,35
10,0.6368,6015.59,415,35
