1700,0.9996,543.123,1941,1701
1400,0.9996,603.353,1909,1401
1100,0.9996,674.234,1846,1101
1000,0.9996,711.963,1815,1001
900,0.9996,748.628,1777,901
800,0.9996,783.064,1732,801
700,0.9996,840.764,1677,701
600,0.9996,913.229,1609,601
500,0.9996,1001.57,1524,501
400,0.9996,1132.79,1414,401
300,0.9994,1312.63,1270,301
250,0.9986,1435.52,1176,251
200,0.999,1622.94,1062,201
180,0.9989,1716.3,1008,181
160,0.9983,1874.79,949,161
140,0.9974,2026.31,884,141
120,0.9968,2224.56,811,121
100,0.9946,2497.38,726,101
90,0.9942,2614.77,680,91
80,0.9921,2897.91,630,82
70,0.989,3186.93,576,72
60,0.9845,3516.06,520,62
55,0.9798,3730.74,488,57
50,0.9762,3975.23,456,52
45,0.9705,4286.99,423,47
40,0.9616,4667.84,388,42
35,0.9498,5168.68,352,37
30,0.9349,5718.99,315,33
25,0.9089,6432.19,276,28
20,0.881,7415.81,237,23
15,0.8299,8923,195,19
10,0.7679,10444.1,163,15
