1700,0.99933,276.299,13445,1703
1400,0.9989,332.165,11436,1403
1100,0.9983,416.862,9324,1103
1000,0.99775,457.03,8593,1003
900,0.99701,505.432,7846,903
800,0.99611,563.835,7085,804
700,0.99475,643.846,6305,704
600,0.99286,742.398,5506,604
500,0.9894,889.948,4684,504
400,0.98301,1102.19,3840,404
300,0.97102,1440.99,2965,305
250,0.96,1721.4,2518,255
200,0.9419,2118.91,2059,205
180,0.93103,2341.03,1874,185
160,0.91739,2585.28,1686,165
140,0.90099,2940.05,1499,146
120,0.87877,3378.48,1309,126
100,0.84943,3975.93,1115,106
90,0.8144,4286.95,1016,96
80,0.7542,4805.01,919,87
70,0.67589,5360.23,824,77
60,0.58823,6025.04,728,68
55,0.54151,6448.32,677,63
50,0.49422,6939.48,628,58
45,0.4454,7449.06,583,53
40,0.39729,8142.66,529,48
35,0.34804,8882.18,483,44
30,0.29833,9812.96,434,39
25,0.2488,11075.8,381,34
20,0.19896,12518.9,333,29
15,0.18919,12936.1,320,28
10,0.18875,12930.3,321,28
